latitude,longitude,number_of_bikes,station_name,restaurant_name,categories,address,review_count,rating,distance
43.34175662737405,11.305010457706883,6,Napoli,La veranda,Pizzeria,Piazza calabria 20,,,601.0
43.34175662737405,11.305010457706883,6,Napoli,Osteria tanaliberatutti,"Deli, italian restaurant",Via uopini 1,,,538.0
43.34175662737405,11.305010457706883,6,Napoli,Bar le terrazze,"Café, restaurant",Via quinto settano 19,,,694.0
43.34175662737405,11.305010457706883,6,Napoli,Bar giglio,"Bar, café, restaurant",Via colombini 32,,,750.0
43.34175662737405,11.305010457706883,6,Napoli,Ristorante pizzeria il jolly,"Pizzeria, italian restaurant",Via fiorentina 13,,,822.0
43.343243018858246,11.32673330024295,14,Ospedale,Mensa san miniato ristorante,Restaurant,Via de nicola 9,,,206.0
43.343243018858246,11.32673330024295,14,Ospedale,Il palio restaurant,Restaurant,Via a. lombardi 41 four points by sheraton,,,327.0
43.343243018858246,11.32673330024295,14,Ospedale,Pizzeria scacciapensieri,Pizzeria,Via nazareno orlandi 21,,,508.0
43.343243018858246,11.32673330024295,14,Ospedale,La pizzeria di san miniato,Pizzeria,Piazza palmiro togliatti 2,,,523.0
43.343243018858246,11.32673330024295,14,Ospedale,Ristorante colleverde,Pizzeria,Strada di scacciapensieri 47,,,770.0
43.343243018858246,11.32673330024295,14,Ospedale,Pizzeria ristorante camping colleverde,Pizzeria,Strada di scacciapensieri 47,,,783.0
43.33699934605541,11.300974983606013,9,Acquacalda,Hotel garden,"Venues & event spaces, hotels, italian",Via custoza 2,13.0,2.8,1146.6171969068578
43.33699934605541,11.300974983606013,9,Acquacalda,La veranda,Italian,Piazza calabria,6.0,4.7,1075.4705266513165
43.33699934605541,11.300974983606013,9,Acquacalda,Mc donald's,"Fast food, burgers",Via fiorentina 124,1.0,2.0,741.3445397964049
43.33699934605541,11.300974983606013,9,Acquacalda,Fontebecci,"Pizza, italian",Via fiorentina 133,2.0,2.0,657.9800999616834
43.33699934605541,11.300974983606013,9,Acquacalda,Skile' music bar,Cafes,Piazza calabria 18,1.0,3.0,1093.2766295340257
43.33699934605541,11.300974983606013,9,Acquacalda,Bar giglio,"Bar, café, restaurant",Via colombini 32,,,163.0
43.33699934605541,11.300974983606013,9,Acquacalda,Bar acquacalda,"Bar, café, restaurant",Via delle province 14,,,372.0
43.33699934605541,11.300974983606013,9,Acquacalda,Al fiumino,"Wine bar, buffet, gastropub",Via giovanni paolo ii,,,711.0
